dataset,num_samples,model,fraction,rep,query_strategy,propagation,kernel,roc_auc
31_satimage-2,500,IForest,0.0,0,random,True,rbf,0.9844804318488529
31_satimage-2,500,IForest,0.0,1,random,True,rbf,1.0
31_satimage-2,500,IForest,0.0,2,random,True,rbf,0.99055330634278
31_satimage-2,500,IForest,0.0,3,random,True,rbf,1.0
31_satimage-2,500,IForest,0.0,4,random,True,rbf,0.9541160593792173
31_satimage-2,500,IForest,0.0,0,random,False,rbf,0.9746963562753037
31_satimage-2,500,IForest,0.0,1,random,False,rbf,1.0
31_satimage-2,500,IForest,0.0,2,random,False,rbf,0.9935897435897436
31_satimage-2,500,IForest,0.0,3,random,False,rbf,0.9996626180836707
31_satimage-2,500,IForest,0.0,4,random,False,rbf,0.9686234817813765
31_satimage-2,500,IForest,0.0,0,uncertainty,True,rbf,0.975033738191633
31_satimage-2,500,IForest,0.0,1,uncertainty,True,rbf,1.0
31_satimage-2,500,IForest,0.0,2,uncertainty,True,rbf,0.9962887989203778
31_satimage-2,500,IForest,0.0,3,uncertainty,True,rbf,0.9996626180836707
31_satimage-2,500,IForest,0.0,4,uncertainty,True,rbf,0.9510796221322537
31_satimage-2,500,IForest,0.0,0,uncertainty,False,rbf,0.9757085020242915
31_satimage-2,500,IForest,0.0,1,uncertainty,False,rbf,1.0
31_satimage-2,500,IForest,0.0,2,uncertainty,False,rbf,0.9949392712550608
31_satimage-2,500,IForest,0.0,3,uncertainty,False,rbf,1.0
31_satimage-2,500,IForest,0.0,4,uncertainty,False,rbf,0.9703103913630229
31_satimage-2,500,IForest,0.0,0,anomalous,True,rbf,0.9854925775978407
31_satimage-2,500,IForest,0.0,1,anomalous,True,rbf,1.0
31_satimage-2,500,IForest,0.0,2,anomalous,True,rbf,0.9986504723346828
31_satimage-2,500,IForest,0.0,3,anomalous,True,rbf,0.9989878542510121
31_satimage-2,500,IForest,0.0,4,anomalous,True,rbf,0.9247638326585695
31_satimage-2,500,IForest,0.0,0,anomalous,False,rbf,0.9777327935222673
31_satimage-2,500,IForest,0.0,1,anomalous,False,rbf,1.0
31_satimage-2,500,IForest,0.0,2,anomalous,False,rbf,0.9966261808367072
31_satimage-2,500,IForest,0.0,3,anomalous,False,rbf,1.0
31_satimage-2,500,IForest,0.0,4,anomalous,False,rbf,0.9547908232118758
31_satimage-2,500,IForest,0.0,0,clusters,True,rbf,0.9757085020242915
31_satimage-2,500,IForest,0.0,1,clusters,True,rbf,1.0
31_satimage-2,500,IForest,0.0,2,clusters,True,rbf,0.9935897435897436
31_satimage-2,500,IForest,0.0,3,clusters,True,rbf,0.9989878542510121
31_satimage-2,500,IForest,0.0,4,clusters,True,rbf,0.9473684210526315
31_satimage-2,500,IForest,0.0,0,clusters,False,rbf,0.9733468286099864
